Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
Dava,116475746,28,135,0,Yes,16162973,13162973,14,1,24,Yes,16916975,13166975,14,1,22,Yes,19995173,13170173,15,4,27,Yes,22469239,13170173,16,1,29,Yes,22705513,13173665,14,1,25,Yes,18225873,13173665,6,0,8
CaptainRootBeer,109753795,43,120,0,Yes,15725436,12725436,14,1,24,Yes,16245249,12745249,13,1,20,Yes,18551301,12750051,13,4,24,Yes,21559509,12754037,15,1,27,Yes,19860179,12759007,12,1,17,Yes,17812121,12759913,5,0,8
Voltaire,109319774,27,117,0,Yes,16292853,12992853,14,1,24,Yes,15805016,12680016,12,1,17,Yes,19167291,12683541,14,4,25,Yes,20227244,12683179,15,1,25,Yes,20091476,12683179,11,2,18,Yes,17735894,12683686,5,0,8
Shaundoggy,91947162,13,89,0,No,29011,29011,0,0,0,Yes,15456335,12456335,11,1,16,Yes,18940529,12456779,14,4,25,Yes,20770262,12458384,15,1,25,Yes,18518076,12458936,9,1,13,Yes,18232949,12458997,6,0,10
Nam,95543042,31,98,0,No,1718641,1118641,3,1,6,Yes,16126803,12876803,12,1,18,Yes,19360372,12876622,14,4,25,Yes,20201312,12876622,15,1,24,Yes,19484200,12876622,11,0,15,Yes,18651714,12877762,6,0,10
jonnyboy479,104598805,27,99,0,Yes,15900016,13100016,13,1,22,Yes,16475838,13100838,12,1,19,Yes,19073328,13109578,14,4,22,Yes,20132945,13108880,15,1,22,Yes,15987274,13109073,7,0,6,Yes,17029404,13113559,6,0,8
Broksby USM,109235465,82,123,7,Yes,16996274,13596274,14,1,25,Yes,17097105,13597105,13,1,20,Yes,20084888,13601138,14,4,25,Yes,21393959,12862706,15,1,26,No,16133928,8734406,13,1,19,Yes,17529311,13613466,7,0,8
Eclipse,108857798,20,121,0,Yes,15837779,12437779,14,0,25,Yes,15687021,12437021,12,1,18,Yes,18076804,12454304,14,4,23,Yes,21262447,12456975,15,1,27,Yes,19867793,12459496,11,0,18,Yes,18125954,12459496,7,0,10
valitsaki,95654408,15,98,0,No,6639587,4239587,10,1,18,Yes,15511677,12761677,11,1,17,Yes,19066701,12761701,14,3,24,Yes,19319715,12762838,15,1,21,Yes,19148172,12768744,10,0,15,Yes,15968556,12774455,3,0,3
OneFingeredFred,107720998,9,108,0,Yes,15755834,12855834,14,1,23,Yes,15742614,12867614,13,1,18,Yes,18994371,12868121,14,4,23,Yes,19426138,12869261,14,1,21,Yes,19156551,12869261,10,1,13,Yes,18645490,12871538,6,0,10
GrandMasterToni,107465787,19,113,0,Yes,15643225,12643225,14,1,24,Yes,16144714,12644714,13,1,20,Yes,19132017,12648267,14,4,25,Yes,20713404,12675745,14,1,24,Yes,18838464,12645505,10,1,14,Yes,16993963,12663499,4,0,6
Suggil,85287880,20,87,0,No,169379,169379,0,1,0,Yes,16333233,13208233,12,1,17,Yes,19505877,13200877,14,4,24,No,12600702,4136480,14,1,25,Yes,18830745,13210355,8,1,14,Yes,17847944,13210355,5,0,7
Fruitloops,68560916,6,86,0,No,0,0,0,0,0,No,3297247,1547247,6,1,11,Yes,18796181,12312431,14,4,25,No,11174104,3733632,13,1,23,Yes,18681375,12301947,11,0,18,Yes,16612009,12281545,5,0,9
Loondog,99594844,21,108,0,No,6831783,3831783,14,1,24,Yes,16435749,13185749,13,1,18,Yes,19832717,13186467,15,4,26,Yes,21499382,13187504,14,1,25,Yes,17150891,13206527,8,0,8,Yes,17844322,13206733,5,0,7
Zuul,107091485,21,116,0,Yes,15499463,12699463,13,1,22,Yes,15952194,12702194,12,1,18,Yes,19188356,12704606,14,4,25,Yes,21526758,12721286,15,1,27,Yes,17870443,12710741,12,1,15,Yes,17054271,12723807,6,0,9
Eggnog889,93994480,23,90,0,No,484664,384664,1,1,1,Yes,15805792,12805792,11,1,16,Yes,18272611,12812611,14,4,22,Yes,21435661,12808939,15,1,26,Yes,19414689,12807111,11,0,15,Yes,18581063,12807111,6,0,10
Recurve,108815496,56,117,0,Yes,16240319,12840319,14,0,25,Yes,16345969,12845969,13,1,20,Yes,19330493,12846743,14,4,25,Yes,21381322,12850069,15,1,26,Yes,19465435,12857857,9,1,15,Yes,16051958,12857857,5,0,6
Linky Triforce,117655361,29,133,0,Yes,16213773,13413773,14,1,22,Yes,16544496,13419496,14,1,20,Yes,20250790,13425790,15,4,27,Yes,21735971,13424093,16,1,28,Yes,22270750,13418965,13,2,22,Yes,20639581,13422141,8,1,14
Kimbo,109814809,28,114,0,Yes,15813556,13013556,13,0,22,Yes,16140164,13015164,12,1,17,Yes,19172424,13029924,14,3,23,Yes,21835396,13029924,15,1,27,Yes,20626967,13032201,13,0,19,Yes,16226302,13032201,5,0,6
Findaddy17,113302181,53,116,1,Yes,16040836,13240836,13,1,22,Yes,16361959,13236959,13,1,17,Yes,19724833,13241083,14,3,25,Yes,22047236,13241764,14,1,26,Yes,18598078,13243132,9,1,12,Yes,20529239,13419293,9,0,14
Phatphil,89384186,35,124,3,No,7491857,4091857,14,0,25,No,7352754,3852754,13,1,20,Yes,18906257,12601257,14,4,24,No,16721787,8409909,14,1,25,Yes,20934354,12617844,13,0,21,Yes,17977177,12617844,6,0,9
Zhangster,112440003,34,118,0,Yes,16732437,13332437,14,1,25,Yes,15833721,13333721,12,1,16,Yes,19818170,13334420,14,4,25,Yes,21645649,13333771,14,1,25,Yes,20742068,13333771,11,0,18,Yes,17667958,13337494,6,0,9
Gorm Tyo,109675921,22,113,0,Yes,15898586,12898586,14,1,24,Yes,15900199,12900199,11,1,16,Yes,19385664,12901914,14,4,25,Yes,21212852,12900974,14,1,25,Yes,19733422,12906469,11,1,16,Yes,17545198,12907609,5,0,7
Kyle Katarn,124376607,95,130,0,Yes,18046516,14646516,14,1,25,Yes,17397146,14647146,14,1,17,Yes,21293561,14647311,15,4,26,Yes,23452799,14647327,15,1,27,Yes,21290380,14649896,14,2,18,Yes,22896205,14649896,12,0,17
Jade,90199605,19,87,0,No,0,0,0,0,0,Yes,15522869,12272869,12,1,18,Yes,18416004,12273504,14,4,23,Yes,20317055,12279396,14,1,24,Yes,18612414,12279055,10,1,14,Yes,17331263,12279055,5,0,8
Lionpride97,95528629,20,92,0,No,572052,372052,1,1,2,Yes,16334897,13209897,12,1,17,Yes,19352380,13209880,13,4,23,Yes,21031936,13213652,14,1,23,Yes,20072221,13212362,11,0,16,Yes,18165143,13220429,8,0,11
Rodger,107556124,13,109,0,Yes,15776366,12776366,14,1,24,Yes,15836271,12836271,11,1,16,Yes,19087833,12782833,14,4,24,Yes,19666232,12794511,14,1,22,Yes,19344974,12792240,10,0,15,Yes,17844448,12792240,5,0,8
STPunisher,99929175,29,107,2,Yes,16402284,13102284,14,1,24,Yes,16101724,13101724,13,1,16,Yes,19070932,13107182,14,4,22,No,13368683,4563211,15,1,27,Yes,18992172,13106338,9,1,13,Yes,15993380,13106404,5,0,5
B to the Rian,106969936,3,116,0,Yes,15634086,12634086,14,0,24,Yes,15629502,12629502,13,1,19,Yes,18949723,12644723,14,3,24,Yes,20682452,12644793,14,1,24,Yes,18795870,12644592,11,0,18,Yes,17278303,12640714,5,0,7
Климент Б,110414631,13,116,0,Yes,16317251,12917251,14,0,25,Yes,16168820,12918820,12,1,18,Yes,19404235,12920485,14,3,25,Yes,21732409,12926937,15,1,27,Yes,19534515,12926937,9,0,15,Yes,17257401,12926937,5,0,6
The Fallen,99131330,55,111,0,Yes,16279220,12879220,14,1,25,No,4233139,2233139,8,0,11,Yes,18507764,12885264,14,3,23,Yes,20703335,12885051,14,1,23,Yes,19716002,12889049,13,1,16,Yes,19691870,12889049,8,0,13
Mace Marauder,115170915,30,126,0,Yes,16298298,13398298,14,1,23,Yes,16148462,13398462,13,1,17,Yes,20045061,13398811,15,4,26,Yes,22204283,13398811,15,1,27,Yes,21715424,13398914,12,2,21,Yes,18759387,13400054,8,0,12
Marl Jewel,108245877,12,104,0,Yes,15066919,13066919,9,1,17,Yes,16194566,13069566,11,1,17,Yes,19555443,13071693,14,4,25,Yes,21111200,13073541,15,1,24,Yes,18913517,13073752,9,0,15,Yes,17404232,13073768,4,0,6
mini mojo2,108036040,14,111,0,Yes,15501134,12701134,13,1,22,Yes,15951134,12701134,12,1,18,Yes,19006134,12701134,14,4,24,Yes,21508253,12702781,15,1,27,Yes,19036140,12702781,10,1,14,Yes,17033245,12702781,4,0,6
BLUE POGO,113616098,7,126,0,Yes,16171853,13171853,14,1,24,Yes,16549212,13174212,13,1,19,Yes,19663917,13180167,14,4,25,Yes,21991337,13185865,15,1,27,Yes,20274823,13182426,13,1,21,Yes,18964956,13191004,6,0,10
Cliquor,96319286,17,86,0,No,252828,252828,0,1,0,Yes,15664254,13414254,7,1,10,Yes,19222433,13421183,14,4,24,Yes,20705765,13417637,14,1,23,Yes,20963696,13414999,12,1,18,Yes,19510310,13429233,7,0,11
Raynorel,124176369,46,144,0,Yes,17427099,14027099,14,1,25,Yes,17277342,14027342,14,1,21,Yes,20852342,14027342,15,4,27,Yes,23052189,14027342,16,1,28,Yes,22572002,14027342,14,2,24,Yes,22995395,14027342,11,0,19
Legion of Boom,96548670,31,105,0,No,2357209,1157209,6,1,12,Yes,16104346,12854346,12,1,18,Yes,18477438,12854938,14,3,23,Yes,21672873,12867401,15,1,27,Yes,20009337,12875259,12,1,17,Yes,17927467,12875259,5,0,8
Ob1kin0be,86187352,28,92,2,No,2155695,1355695,2,0,2,Yes,15157429,12657429,11,1,15,Yes,19141072,12657322,14,4,25,No,12185579,4052451,14,1,24,Yes,19837824,12657677,11,0,18,Yes,17709753,12657545,5,0,8
Scarif Moses,113514550,88,115,0,Yes,16530782,13830782,14,1,21,Yes,17326716,13826716,14,1,20,Yes,19976989,13834489,15,4,26,Yes,21160529,13835839,15,1,24,Yes,19008013,13843923,11,2,14,Yes,19511521,13845063,7,0,10
